25
0,8,15,7,0
1,5,24,5,0
2,10,15,4,0
3,7,19,8,0
4,5,5,8,0
5,8,14,15,0
6,8,21,14,0
7,4,12,7,0
8,7,25,13,0
9,6,23,16,0
10,4,10,6,0
11,4,11,7,0
12,8,18,8,0
13,10,15,20,0
14,8,25,11,0
15,10,27,19,0
16,10,26,19,0
17,5,18,16,0
18,10,27,17,0
19,10,23,25,0
20,2,14,15,0
21,3,8,14,0
22,3,21,20,0
23,2,21,15,0
24,8,17,12,0
25,9,11,16,0
26,6,24,11,0
27,2,2,22,0
28,7,19,20,0
29,8,15,12,0
30,2,9,1,0
31,2,7,21,0
32,6,8,24,0
33,9,21,8,0
34,7,15,22,0
35,5,7,17,0
36,4,8,15,0
37,6,16,7,0
38,3,9,16,0
39,8,23,6,0
40,8,9,13,0
41,9,11,9,0
42,7,17,21,0
43,2,15,14,0
44,9,25,2,0
45,8,20,21,0
46,2,3,23,0
47,8,27,10,0
48,9,12,13,0
49,3,4,6,0
