19,0,400.16299986839294,0.8937138913137359,0.14400005340576172
0,215,23,0
1,46,0,0
2,262,15,0
3,1589,6,1437
4,1274,1,1246
5,1706,7,1700
6,0,22,0
7,0,24,0
8,1656,4,1594
9,1876,19,1869
10,161,0,0
11,31,17,0
12,1256,16,1237
13,200,4,0
14,1147,8,1036
15,71,14,0
16,75,0,0
17,75,19,0
18,106,7,0
19,1350,0,1189
20,0,0,0
21,0,8,0
22,1416,0,1331
23,168,6,0
24,337,17,322
25,1771,0,1719
26,116,0,0
27,1292,17,1118
28,1464,0,1355
29,156,18,0
30,1187,17,1146
31,46,3,0
32,1998,14,1842
33,377,16,301
34,44,8,0
35,1796,17,1746
36,1933,15,1754
37,1514,6,1396
38,109,17,0
39,0,19,0
