25
0,33,44,5,0
1,38,41,8,0
2,63,181,3,0
3,28,69,7,0
4,26,114,7,0
5,59,168,3,0
6,58,105,8,0
7,67,103,8,0
8,34,73,8,0
9,77,79,5,0
10,56,185,6,0
11,74,263,6,0
12,76,204,7,0
13,23,53,2,0
14,41,52,6,0
15,71,95,4,0
16,60,163,1,0
17,78,127,3,0
18,24,36,1,0
19,75,222,4,0
20,23,65,6,0
21,17,60,2,0
22,43,119,8,0
23,23,85,6,0
24,37,77,5,0
25,42,79,1,0
26,39,180,7,0
27,43,53,1,0
28,42,99,5,0
29,67,302,3,0
30,50,138,2,0
31,30,31,1,0
32,28,41,3,0
33,47,85,3,0
34,31,105,2,0
35,20,24,4,0
36,40,96,1,0
37,66,110,8,0
38,58,103,7,0
39,79,234,1,0
40,54,130,4,0
41,57,257,4,0
42,43,103,6,0
43,61,125,5,0
44,58,94,7,0
45,54,167,6,0
46,79,299,8,0
47,77,330,6,0
48,51,95,8,0
49,56,241,5,0
