43,1,84.81499981880188,0.0,42.633999824523926
0,4,6,0
1,193,0,193
2,408,0,398
3,140,4,140
4,1112,0,1099
5,48,15,33
6,694,0,684
7,602,0,584
8,710,16,702
9,13,11,0
10,670,0,660
11,271,18,257
12,1077,0,1076
13,399,0,398
14,40,14,29
15,1095,0,1078
16,90,12,75
17,1095,20,1085
18,518,0,499
19,470,0,465
20,315,19,315
21,426,0,422
22,729,0,728
23,14,0,0
24,126,0,115
25,0,11,0
26,749,0,741
27,27,8,7
28,360,0,353
29,14,15,10
30,434,18,417
31,337,0,317
32,243,0,230
33,61,0,60
34,500,0,495
35,300,0,283
36,532,0,523
37,3,10,0
38,408,19,398
39,569,0,549
40,635,0,618
41,434,0,419
42,227,0,207
43,174,14,167
44,1041,0,1038
45,14,4,0
46,32,0,15
47,309,0,295
48,100,0,94
49,6,21,0
