25
0,14,21,1,0
1,11,36,2,0
2,7,25,1,0
3,12,18,1,0
4,14,15,11,0
5,16,43,5,0
6,11,26,10,0
7,13,33,5,0
8,20,34,6,0
9,10,30,5,0
10,6,11,3,0
11,8,19,5,0
12,8,13,7,0
13,7,20,12,0
14,13,54,2,0
15,7,27,4,0
16,18,30,3,0
17,13,47,3,0
18,7,8,7,0
19,19,72,12,0
20,7,20,12,0
21,12,40,10,0
22,10,45,12,0
23,13,56,10,0
24,13,27,5,0
25,8,11,3,0
26,5,18,12,0
27,16,27,2,0
28,20,52,7,0
29,7,14,8,0
30,9,16,8,0
31,14,31,4,0
32,10,43,11,0
33,16,71,9,0
34,4,10,10,0
35,16,18,1,0
36,5,12,1,0
37,17,19,4,0
38,9,9,5,0
39,20,28,8,0
