16,0,1005.2310001850128,0.1856863284407072,198.1579999923706
1,330,0,0
6,8,0,0
7,8,0,0
8,8,0,0
9,8,0,0
12,5,0,0
15,7,0,0
22,4,0,0
24,8,0,0
26,5,0,0
28,7,0,0
37,5,0,0
38,8,0,0
43,7,0,0
44,5,0,0
48,7,0,0
0,0,17,0
2,116,18,0
3,28,0,0
4,83,18,0
5,109,22,0
10,129,6,0
11,189,19,0
13,0,5,0
14,0,11,0
16,95,17,0
17,49,12,0
18,0,4,0
19,145,13,0
20,37,17,0
21,42,10,0
23,60,19,0
25,0,24,0
27,0,23,0
29,235,0,0
30,79,6,0
31,0,22,0
32,0,8,0
33,28,7,0
34,60,16,0
35,0,0,0
36,46,15,0
39,155,5,0
40,75,8,0
41,191,7,0
42,58,0,0
45,101,0,0
46,220,11,0
47,253,5,0
49,164,0,0
