46,0,10.505000114440918,0.49456521739022913,0.440000057220459
0,15,0,0
1,10,23,0
2,240,0,227
3,289,16,281
4,265,0,260
5,388,6,370
6,0,0,0
7,565,4,557
8,327,14,318
9,602,23,601
10,720,0,714
11,825,0,816
12,644,0,627
13,806,0,803
14,790,0,785
15,204,0,189
16,138,0,123
17,669,0,652
18,420,0,413
19,482,23,464
20,768,0,756
21,95,0,93
22,159,0,157
23,706,11,693
24,541,4,538
25,10,24,1
26,736,0,734
27,889,9,871
28,504,0,502
29,29,0,25
30,928,14,911
31,49,0,43
32,864,20,860
33,327,0,314
34,309,14,293
35,475,0,468
36,359,17,356
37,641,22,633
38,611,0,610
39,455,10,452
40,180,0,165
41,848,0,844
42,1183,0,1166
43,10,21,0
44,289,4,281
45,58,0,45
46,86,18,78
47,70,0,58
48,107,4,106
49,339,10,328
