15
0,14,31,11,0
1,9,23,5,0
2,8,12,8,0
3,9,27,7,0
4,14,24,10,0
5,5,10,13,0
6,9,20,2,0
7,6,13,15,0
8,12,31,9,0
9,18,37,6,0
10,6,23,12,0
11,7,19,2,0
12,5,5,4,0
13,4,10,15,0
14,16,33,11,0
15,4,6,2,0
16,19,33,13,0
17,19,29,9,0
18,4,5,4,0
19,5,14,12,0
20,5,23,13,0
21,17,30,5,0
22,16,36,2,0
23,11,22,5,0
24,4,21,4,0
25,6,7,1,0
26,14,31,10,0
27,19,21,9,0
28,6,9,1,0
29,20,27,7,0
30,9,24,14,0
31,8,15,1,0
32,11,14,1,0
33,8,22,7,0
34,16,21,6,0
35,17,20,9,0
36,6,7,5,0
37,8,23,10,0
38,12,26,11,0
39,17,21,3,0
40,16,20,2,0
41,11,15,4,0
42,19,27,2,0
43,14,15,5,0
44,16,22,14,0
45,20,33,15,0
46,12,21,6,0
47,15,20,9,0
48,13,20,15,0
49,12,30,9,0
50,16,31,5,0
51,19,38,11,0
52,11,11,3,0
53,13,21,6,0
54,12,26,6,0
55,9,27,9,0
56,20,24,11,0
57,5,7,8,0
58,18,24,9,0
59,18,19,9,0
