25
0,8,9,6,0
1,15,32,8,0
2,20,20,16,0
3,6,18,11,0
4,4,21,3,0
5,11,19,12,0
6,15,24,5,0
7,7,20,8,0
8,20,39,21,0
9,18,35,7,0
10,4,15,24,0
11,16,30,23,0
12,8,13,12,0
13,7,13,8,0
14,11,17,15,0
15,9,15,3,0
16,17,21,3,0
17,4,9,12,0
18,19,32,15,0
19,17,35,15,0
20,11,11,21,0
21,11,20,18,0
22,14,24,21,0
23,7,26,12,0
24,19,31,4,0
25,11,11,13,0
26,5,19,16,0
27,17,34,1,0
28,17,31,24,0
29,20,29,19,0
30,9,25,23,0
31,8,8,2,0
32,7,24,21,0
33,19,30,16,0
34,5,18,6,0
35,18,32,24,0
36,16,24,10,0
37,14,15,1,0
38,6,22,10,0
39,11,21,25,0
40,16,20,18,0
41,17,34,12,0
42,16,22,25,0
43,8,14,18,0
44,4,20,25,0
45,15,22,24,0
46,10,10,25,0
47,10,22,11,0
48,7,7,15,0
49,18,22,4,0
