20
0,11,27,2,0
1,26,41,13,0
2,11,26,20,0
3,8,22,14,0
4,7,24,9,0
5,3,6,4,0
6,6,7,8,0
7,29,33,20,0
8,21,24,6,0
9,7,24,17,0
10,3,8,9,0
11,3,5,13,0
12,26,40,19,0
13,30,37,7,0
14,3,15,3,0
15,11,25,15,0
16,2,16,6,0
17,13,32,2,0
18,2,6,15,0
19,20,27,11,0
20,10,27,8,0
21,26,30,11,0
22,24,29,17,0
23,11,19,13,0
24,16,22,19,0
25,14,31,6,0
26,26,44,9,0
27,30,31,13,0
28,11,24,7,0
29,4,22,6,0
30,9,17,6,0
31,1,10,4,0
32,10,26,20,0
33,13,14,11,0
34,12,14,15,0
35,28,42,18,0
36,26,29,10,0
37,28,48,3,0
38,30,49,15,0
39,21,30,1,0
