19000211,0,400.2629997730255,1.0,0.22799992561340332
0,9,8,7
1,10,13,6
2,24,3,21
3,9,5,0
4,4,0,0
5,6,6,0
6,22,11,13
7,1,9,0
8,4,8,0
9,2,4,0
10,20,0,17
11,12,10,0
12,19,4,19
13,16,5,16
14,14,0,9
15,3,8,0
16,5,5,0
17,2,1,0
18,12,0,7
19,6,1,0
20,0,8,0
21,12,5,0
22,1,11,0
23,4,1,0
24,0,0,0
25,24,7,18
26,16,8,0
27,1,13,0
28,26,11,21
29,17,10,0
30,3,4,0
31,1,0,0
32,9,0,0
33,6,9,6
34,7,12,0
35,3,14,0
36,0,9,0
37,3,6,2
38,4,9,2
39,16,0,5
40,24,0,16
41,1,7,0
42,0,2,0
43,21,7,16
44,7,4,7
45,2,0,0
46,12,3,3
47,0,11,0
48,0,7,0
49,2,8,0
